team,season,position_group,total_cap_allocated
BLT,2013,DL,19.472814999999997
BLT,2013,LB,4.363558
BLT,2013,OL,11.808194
BLT,2013,QB,20.636327
BLT,2013,RB,8.279132
BLT,2013,ST,1.2850000000000001
BLT,2013,TE,3.346
BLT,2013,WR,6.208781999999999
BLT,2014,CB_S,17.913107999999998
BLT,2014,DL,17.695541
BLT,2014,LB,8.300758
BLT,2014,OL,21.291997000000002
BLT,2014,QB,20.636327
BLT,2014,RB,2.639278
BLT,2014,ST,1.2850000000000001
BLT,2014,TE,8.082754
BLT,2014,WR,4.9141829999999995
BLT,2015,CB_S,28.500399
BLT,2015,DL,7.922239
BLT,2015,LB,5.544558
BLT,2015,OL,21.589493
BLT,2015,QB,24.347500000000004
BLT,2015,RB,4.792492
BLT,2015,ST,6.411
BLT,2015,TE,2.307501
BLT,2015,WR,4.679665
BUF,2013,CB_S,21.572072000000002
BUF,2013,DL,26.734460000000002
BUF,2013,LB,5.686665
BUF,2013,OL,13.028295
BUF,2013,QB,2.221325
BUF,2013,RB,9.735917
BUF,2013,ST,0.568
BUF,2013,TE,3.8543650000000005
BUF,2013,WR,10.340474
BUF,2014,CB_S,23.175383
BUF,2014,DL,31.13446
BUF,2014,LB,4.563998
BUF,2014,OL,18.200696999999998
BUF,2014,QB,7.721325
BUF,2014,RB,9.165303999999999
BUF,2014,ST,4.0591669999999995
BUF,2014,TE,3.504365
BUF,2014,WR,15.333062000000002
BUF,2015,CB_S,24.115312
BUF,2015,DL,52.225533
BUF,2015,LB,6.719393
BUF,2015,OL,14.5175
BUF,2015,QB,6.082992000000001
BUF,2015,RB,13.780505
BUF,2015,ST,5.029167
BUF,2015,TE,8.694794
BUF,2015,WR,16.739062
BUF,2016,CB_S,25.892702999999997
BUF,2016,DL,26.759734
BUF,2016,LB,8.851780999999999
BUF,2016,OL,32.089705
BUF,2016,QB,18.798148
BUF,2016,RB,13.007228999999999
BUF,2016,ST,4.735834
BUF,2016,TE,9.669794
BUF,2016,WR,15.049622
BUF,2017,CB_S,22.820522
BUF,2017,DL,27.639768
BUF,2017,LB,8.44267
BUF,2017,OL,37.067554
BUF,2017,QB,17.379877
BUF,2017,RB,14.7198
BUF,2017,ST,5.4394
BUF,2017,TE,10.9925
BUF,2017,WR,14.68386
BUF,2018,CB_S,23.49656
BUF,2018,DL,42.850614
BUF,2018,LB,9.779465
BUF,2018,OL,14.262127
BUF,2018,QB,8.369289
BUF,2018,RB,15.482733
BUF,2018,ST,7.566833
BUF,2018,TE,9.8354
BUF,2018,WR,11.722506000000001
BUF,2019,CB_S,23.131194999999998
BUF,2019,DL,43.641493
BUF,2019,LB,12.128727999999999
BUF,2019,OL,38.407511
BUF,2019,QB,6.845759
BUF,2019,RB,7.652900000000001
BUF,2019,ST,5.886
BUF,2019,TE,12.017538
BUF,2019,WR,21.204533
BUF,2020,CB_S,48.53065
BUF,2020,DL,57.183725
BUF,2020,LB,20.278895000000002
BUF,2020,OL,47.866314
BUF,2020,QB,8.048767000000002
BUF,2020,RB,9.64982
BUF,2020,ST,2.497606
BUF,2020,TE,9.093538
BUF,2020,WR,36.732415
BUF,2021,CB_S,53.407709
BUF,2021,DL,42.597323
BUF,2021,LB,23.939686000000002
BUF,2021,OL,42.988400999999996
BUF,2021,QB,45.703622
BUF,2021,RB,6.586453000000001
BUF,2021,ST,4.193739
BUF,2021,TE,3.089371
BUF,2021,WR,32.600428
BUF,2022,CB_S,59.924144
BUF,2022,DL,31.443997
BUF,2022,LB,22.361534
BUF,2022,OL,43.462132999999994
BUF,2022,QB,47.644999999999996
BUF,2022,RB,7.277515999999999
