team,season,CB_S,DL,LB,OL,QB,RB,ST,TE,WR,total_cap,pct_CB_S,pct_DL,pct_LB,pct_OL,pct_QB,pct_RB,pct_ST,pct_TE,pct_WR,wins,games,point_diff,win_pct
CIN,2014,26.548957,30.52842,13.735328,21.972922,18.100413,2.817286,5.29,5.600933,9.736389,134.330648,0.19763886644840722,0.22726325268675843,0.10225014324355824,0.16357340880243504,0.13474522210300066,0.020972771604585726,0.03938043982338267,0.04169512381120949,0.07248077147666258,10,17,5.0,0.5882352941176471
CIN,2015,25.972046,34.027742,17.94857,27.853255,16.712613,2.817286,5.54,4.494443,16.889013,152.254968,0.1705825848651454,0.22349183377714155,0.11788495466367968,0.18293823423876718,0.1097672753771818,0.018503737756524308,0.03638633321968187,0.02951918784022864,0.11092585826164962,12,17,138.0,0.7058823529411765
CIN,2016,29.935071,30.812653,19.01191,24.201179,17.153135,7.160618,6.785,6.956110000000001,21.862182,163.87785799999997,0.1826669652955801,0.18802206335891947,0.11601268305569386,0.14767815063826378,0.10467024166254359,0.04369484741495707,0.041402786702276775,0.04244691799669484,0.1334053438750707,6,16,10.0,0.375
CIN,2017,35.441614,30.852391,21.085837,18.575439,16.613135,10.340009,6.092499999999999,8.119181000000001,27.294074,174.41418,0.2032037418058555,0.176891529117644,0.12089519900274165,0.10650188533982731,0.09525105699548053,0.059284222188815155,0.03493121946850881,0.04655115197629001,0.15648999410483713,7,16,-59.0,0.4375
CIN,2018,23.361901,44.417778,24.459535,34.638116000000004,18.872335,9.148045,6.425,7.747981,26.653274,195.72396500000002,0.11936147420679934,0.22694092672810912,0.12496954575797602,0.17697432197431726,0.09642322032460357,0.04673952420696157,0.032826843662195376,0.03958626630111443,0.13617787683792323,6,16,-87.0,0.375
CIN,2019,29.282277,39.282311,4.188922,38.391335,16.827414,8.571664,7.116,12.169574,34.664032,190.493529,0.15371796172666843,0.20621336171476987,0.021989838825443777,0.20153616346726402,0.0883358825275372,0.04499714003408484,0.03735559962249426,0.06388444827435583,0.18196960380738184,2,16,-141.0,0.125
CIN,2020,36.524262,42.42324,6.569514,38.560782,10.425748,19.939123,6.737914,11.206574,22.249596,194.63675299999997,0.18765346953768802,0.21796109597039984,0.0337526900687662,0.19811665271666348,0.05356515580590271,0.10244274368880374,0.034617891514045145,0.05757686473530516,0.11431343596242588,4,16,-113.0,0.25
CIN,2021,44.86667,56.513221,8.367584,22.730417,10.713134,14.894422,6.294029,9.521141,22.999208,196.899826,0.2278654629181846,0.28701508857605595,0.042496655126551514,0.11544152913573423,0.05440905773070617,0.0756446681674569,0.03196564023372982,0.04835525349829411,0.11680664461328676,13,21,94.0,0.6190476190476191
CIN,2022,36.430537,55.363959,7.78225,31.651746,10.482201,17.912389,2.919629,9.383142,25.801941,197.727794,0.18424590829147675,0.2800008935516673,0.039358401985711736,0.16007737384659235,0.05301329058473186,0.09059115381624094,0.014765900842448079,0.04745484592823607,0.130492231152895,14,19,117.0,0.7368421052631579
CIN,2023,26.253289,64.410056,22.024148,23.146635,56.182,10.043261,3.026262,3.477333,26.202983,234.76596699999996,0.11182749073676426,0.2743585742988037,0.09381320589794007,0.09859450795097573,0.23931066635395246,0.04277988470109043,0.012890548143206807,0.014811912665348127,0.11161320925191855,9,17,-18.0,0.5294117647058824
CIN,2024,29.869382,66.595621,21.889166,33.339784,57.221567,11.21167,10.356666,10.49154,37.848343,278.823739,0.10712639500182587,0.23884487468263954,0.07850538866778485,0.11957297509736071,0.20522487505986714,0.04021060057587134,0.03714413283870353,0.03762785779154909,0.13574290028439795,9,17,38.0,0.5294117647058824
CLE,2016,32.38834,17.573787,9.509573,26.016783,17.156087,3.909695,3.345,5.762731999999999,24.376716,140.038713,0.23128133147010568,0.1254923486764692,0.06790674375877762,0.18578279136284265,0.1225096020412584,0.027918672745871353,0.023886252082308126,0.04115099229739421,0.1740712655649727,1,16,-188.0,0.0625
CLE,2017,17.929672,21.532502,27.604122,42.079699,2.579374,4.993233,4.483959,4.948868000000001,10.328214,136.479643,0.13137250073258178,0.1577707966308206,0.20225816387869652,0.3083221649400123,0.01889933138233663,0.03658591779874453,0.032854416244333225,0.036260851004717244,0.07567585738775708,0,16,-176.0,0.0
CLE,2018,34.714643,23.205184,25.798629,37.226633,27.241078,7.429907,5.468334,9.404684,22.896591,193.38568300000003,0.1795098916397032,0.11999432243388977,0.13340506184214265,0.19249942613383636,0.14086398526203203,0.03842015026520861,0.028276829572745563,0.04863174902146194,0.11839858382897972,7,16,-33.0,0.4375
CLE,2019,30.796201,46.658759,16.281826,32.405532,12.246745,5.519974,2.345114,7.390536,23.703684,177.348371,0.17364806243413425,0.2630909928121077,0.0918070231386563,0.1827224677468281,0.06905473634150269,0.031125033564587977,0.013223205754734563,0.041672421112906644,0.13365605709454192,6,16,-58.0,0.375
CLE,2020,34.771643,64.622311,8.518915,55.118501,15.077712,8.242574,2.56,15.387644,20.911002,225.21030199999998,0.15439632508463133,0.2869420733692724,0.03782648894987051,0.2447423608534569,0.06694947729344992,0.03659945360758852,0.011367153177566452,0.06832566655853958,0.09285100110562439,12,18,-5.0,0.6666666666666666
CLE,2021,33.041974,47.590324,6.470804,64.976979,15.978245,22.917686,3.0531,16.381277,23.827459,234.237848,0.1410616357780063,0.20317094101718353,0.027624929341051666,0.2773974383507826,0.06821376279037536,0.09783938076480278,0.013034187370095715,0.06993437286018782,0.10172335172751416,8,17,-22.0,0.47058823529411764
